compound_name,cas_number,species,strain,dosage,avg_lifespan_change,max_lifespan_change,gender,significance,pubmed_id,,
Cortisone,53-06-5,Asplanchna brightwelli,clone 4B61,800 µM,-6.3,0,,NS,2782995,,
Cortisone,53-06-5,Asplanchna brightwelli,clone 4B61,50 µM,2.2,0,,NS,2782995,,
Cortisone,53-06-5,Asplanchna brightwelli,clone 4B61,100 µM,20.8,0,,S,2782995,,
Cortisone,53-06-5,Asplanchna brightwelli,clone 4B61,10 µM,0.7,0,,NS,2782995,,
Cortisone,53-06-5,Asplanchna brightwelli,clone 4B61,200 µM,19.3,0,,S,2782995,,
Buthionine Sulfoximine ,5072-26-4,Musca Domestica,,3 mM,-30,,,S,2866912,,
2-Oxothiazolidine-4-carboxylate,19771-63-2,Musca Domestica,,3 mM,-24,,,S,2866912,,
Aluminium chloride,7446-70-0,Mus musculus,C57BL/6J,270 ppm,-6.93,,MALE,NS,3205069,,
Ascorbic acid,50-81-7,Caenorhabditis elegans,N2,80 µg/ml,0,,,NS,3374177,,
Vitamin E,59-02-9,Caenorhabditis elegans,N2,400 µg/ml,4,,,NS,3374177,,
Vitamin E,59-02-9,Caenorhabditis elegans,N2,100 µg/ml,9,,,NS,3374177,,
Vitamin E,59-02-9,Caenorhabditis elegans,N2,200 µg/ml,22,,,S,3374177,,
